meaningful_components=56
shape_01.svg	area=434776	bbox=(3252, 0, 4371, 486)
shape_02.svg	area=151120	bbox=(4334, 90, 4787, 561)
shape_03.svg	area=164156	bbox=(2836, 94, 3279, 580)
shape_04.svg	area=164943	bbox=(4674, 175, 5188, 694)
shape_05.svg	area=163657	bbox=(2433, 179, 2891, 717)
shape_06.svg	area=169751	bbox=(5019, 312, 5571, 863)
shape_07.svg	area=175546	bbox=(2037, 317, 2556, 892)
shape_08.svg	area=18009349	bbox=(949, 454, 6673, 6176)
shape_09.svg	area=164898	bbox=(5341, 486, 5902, 1048)
shape_10.svg	area=563494	bbox=(1072, 501, 2239, 1592)
shape_11.svg	area=200035	bbox=(5606, 685, 6242, 1303)
shape_12.svg	area=250162	bbox=(6631, 916, 7400, 1813)
shape_13.svg	area=209090	bbox=(5898, 940, 6555, 1573)
shape_14.svg	area=221086	bbox=(6139, 1233, 6824, 1870)
shape_15.svg	area=446317	bbox=(567, 1238, 1473, 2191)
shape_16.svg	area=241022	bbox=(6347, 1550, 7075, 2182)
shape_17.svg	area=443468	bbox=(245, 1890, 1110, 2764)
shape_18.svg	area=435671	bbox=(6513, 1914, 7382, 2764)
shape_19.svg	area=128027	bbox=(3218, 2075, 4428, 2438)
shape_20.svg	area=30232	bbox=(3814, 2472, 3913, 2797)
shape_21.svg	area=43274	bbox=(3096, 2476, 3374, 2796)
shape_22.svg	area=88346	bbox=(3398, 2476, 3779, 2797)
shape_23.svg	area=74511	bbox=(3946, 2476, 4252, 2797)
shape_24.svg	area=56956	bbox=(4286, 2476, 4526, 2797)
shape_25.svg	area=5494	bbox=(4273, 2633, 4394, 2703)
shape_26.svg	area=142500	bbox=(47, 2760, 391, 3298)
shape_27.svg	area=134076	bbox=(7255, 2760, 7576, 3293)
shape_28.svg	area=118876	bbox=(3455, 2836, 4191, 3208)
shape_29.svg	area=338166	bbox=(401, 2845, 887, 3690)
shape_30.svg	area=213381	bbox=(6740, 2845, 7240, 3354)
shape_31.svg	area=223600	bbox=(7637, 2888, 7973, 3846)
shape_32.svg	area=2088	bbox=(912, 2911, 967, 3071)
shape_33.svg	area=255978	bbox=(7198, 3289, 7632, 4026)
shape_34.svg	area=3148372	bbox=(0, 3294, 2777, 7514)
shape_35.svg	area=144082	bbox=(6778, 3337, 7240, 3713)
shape_36.svg	area=133145	bbox=(444, 3648, 920, 4044)
shape_37.svg	area=133112	bbox=(6697, 3677, 7202, 4054)
shape_38.svg	area=215858	bbox=(1053, 3762, 1786, 4366)
shape_39.svg	area=1843848	bbox=(4353, 3885, 6894, 6412)
shape_40.svg	area=137161	bbox=(510, 3942, 1062, 4357)
shape_41.svg	area=157719	bbox=(6546, 3946, 7131, 4394)
shape_42.svg	area=167415	bbox=(7122, 3984, 7623, 4432)
shape_43.svg	area=779092	bbox=(727, 4045, 2073, 5245)
shape_44.svg	area=134071	bbox=(604, 4211, 1185, 4649)
shape_45.svg	area=145478	bbox=(6409, 4239, 7022, 4706)
shape_46.svg	area=3022270	bbox=(4490, 4386, 7585, 7627)
shape_47.svg	area=905774	bbox=(1592, 4689, 3246, 6413)
shape_48.svg	area=811895	bbox=(1058, 4948, 2640, 6413)
shape_49.svg	area=810073	bbox=(5010, 4963, 6563, 6413)
shape_50.svg	area=631395	bbox=(3157, 6107, 4484, 6738)
shape_51.svg	area=153142	bbox=(4481, 6163, 5146, 6630)
shape_52.svg	area=147018	bbox=(2486, 6173, 3147, 6630)
shape_53.svg	area=328928	bbox=(2632, 6598, 3118, 7618)
shape_54.svg	area=310812	bbox=(3006, 6702, 3439, 7684)
shape_55.svg	area=306107	bbox=(4173, 6702, 4593, 7689)
shape_56.svg	area=657102	bbox=(3402, 6758, 4210, 7712)
